product_id,product_name,category,unit_price,stock_quantity
2001,Backpack v1,Accessories,1116.2,125
2002,Cotton T-Shirt v1,Clothing,1019.9,456
2003,Yoga Mat v5,Sports,641.55,15
2004,Bluetooth Speaker v2,Electronics,765.45,13
2005,Dumbbell Set v5,Sports,637.99,229
2006,Water Bottle 1L v1,Sports,1141.83,81
2007,Leather Wallet v3,Accessories,427.64,110
2008,Air Fryer v1,Home & Kitchen,579.19,183
2009,Robotic Vacuum v3,Home & Kitchen,1213.59,373
2010,SQL Complete Reference v1,Books,1460.08,193
2011,Smartphone X v5,Electronics,1329.9,185
2012,Dumbbell Set v1,Sports,83.05,116
2013,Air Fryer v2,Home & Kitchen,1301.73,194
2014,Non-Stick Pan v3,Home & Kitchen,256.54,181
2015,Leather Belt v3,Clothing,1057.2,349
2016,Backpack v5,Accessories,957.94,273
2017,Smartwatch v2,Accessories,701.46,138
2018,Keychains v5,Accessories,341.13,166
2019,Bluetooth Speaker v1,Electronics,1210.49,205
2020,Air Fryer v2,Home & Kitchen,1371.01,290
2021,Sunglasses v2,Accessories,988.33,202
2022,Leather Wallet v2,Accessories,408.35,126
2023,Travel Mug v5,Accessories,405.17,299
2024,SQL Complete Reference v4,Books,552.56,70
2025,Treadmills Pro v1,Sports,1137.34,440
2026,4K Monitor v2,Electronics,1191.24,216
2027,Yoga Mat v4,Sports,581.7,239
2028,Water Bottle 1L v5,Sports,1293.26,5
2029,Keychains v1,Accessories,1027.34,274
2030,Stainless Kettle v3,Home & Kitchen,180.65,222
2031,Winter Coat v1,Clothing,1431.42,448
2032,Sunglasses v5,Accessories,1146.51,259
2033,Smartphone X v5,Electronics,919.32,78
2034,Espresso Machine v5,Home & Kitchen,1430.95,472
2035,Yoga Mat v5,Sports,,9
2036,Tablet Air v3,Electronics,370.59,123
2037,Yoga Mat v1,Sports,1101.88,417
2038,4K Monitor v2,Electronics,994.73,484
2039,Dumbbell Set v3,Sports,798.6,310
2040,Python Mastery v5,Books,1136.57,353
2041,Leather Belt v3,Clothing,607.5,343
2042,Sunglasses v4,Accessories,1350.93,231
2043,Bluetooth Speaker v2,Electronics,110.08,10
2044,Cycling Helmet v2,Sports,888.83,3
2045,Laptop Pro v2,Electronics,115.09,16
2046,Air Fryer v5,Home & Kitchen,368.44,342
2047,Python Mastery v5,Books,211.48,478
2048,Cycling Helmet v4,Sports,375.85,242
2049,Python Mastery v1,Books,158.94,220
2050,Non-Stick Pan v4,Home & Kitchen,708.53,373
2051,Wireless Mouse v1,Electronics,612.89,173
2052,Bluetooth Speaker v2,Electronics,297.46,229
2053,Winter Coat v2,Clothing,428.64,127
2054,Headphones Pro v5,Electronics,160.39,333
2055,Yoga Mat v1,Sports,1390.65,434
2056,Cotton T-Shirt v4,Clothing,736.18,109
