order_id,customer_id,product_id,order_date,quantity,total_amount,order_status
50001,1393,2159,2023-12-28,2,871.35,Shipped
50002,1044,2117,2023-12-14,4,1610.81,Cancelled
50003,1415,2087,2024-04-29,1,240.69,Completed
50004,3408,2050,2023-07-26,1,30.84,Shipped
50005,1277,2152,2023-09-08,5,424.21,Cancelled
50006,2050,2091,2024-01-02,4,1476.78,Pending
50007,1762,2063,2023-08-10,1,53.73,Completed
50008,3395,2112,2024-02-18,3,518.44,Cancelled
50009,1597,2038,2024-01-27,3,934.74,Completed
50010,2511,2003,2024-02-21,5,1686.98,Completed
50011,1235,2061,2024-02-15,5,2164.42,Pending
50012,2409,2051,2023-09-11,2,796.0,Completed
50013,1776,2171,2024-01-30,4,1239.55,Completed
50014,3370,2145,2023-11-19,5,836.63,Completed
50015,1665,2027,2024-01-19,1,260.57,Completed
50016,1914,2178,2023-09-26,4,1285.45,Completed
50017,2970,2189,2023-11-17,4,490.1,Completed
50018,1028,2093,2023-06-06,1,195.0,Cancelled
50019,1472,2037,2023-10-27,4,469.37,Cancelled
50020,2475,2012,2023-06-16,2,237.93,Completed
50021,1897,2068,2023-08-29,3,1282.74,Completed
50022,1732,2051,2023-06-12,2,850.74,Completed
50023,1086,2174,2023-08-10,4,1344.25,Completed
50024,2387,2054,2023-11-04,4,556.28,Completed
50025,1702,2135,2024-04-15,4,1768.94,Completed
50026,1486,2037,2023-08-06,2,232.1,Pending
50027,2533,2082,2024-04-02,4,1956.26,Completed
50028,1190,2196,2024-04-11,5,574.12,Cancelled
50029,2205,2039,2023-11-15,2,100.6,Completed
50030,1518,2131,2024-03-26,4,497.55,Completed
50031,2928,2170,2024-04-10,1,104.53,Pending
50032,3086,2096,2024-02-11,5,1227.63,Completed
50033,2532,2135,2024-05-21,4,1459.73,Pending
50034,2941,2069,2024-03-24,4,1312.4,Cancelled
50035,1150,2054,2023-09-21,2,479.48,Completed
50036,2622,2056,2023-11-04,4,1788.55,Cancelled
50037,1644,2096,2023-10-09,5,326.3,Completed
50038,2209,2114,2024-02-21,3,403.0,Completed
50039,2906,2132,2024-04-14,3,682.2,Pending
50040,2772,2105,2023-12-06,4,,Pending
50041,1102,2046,2024-01-13,2,302.34,Completed
50042,2471,2022,2023-10-29,5,1342.88,Shipped
50043,1321,2071,2023-09-25,1,81.33,Completed
50044,1157,2140,2023-09-11,3,355.22,Completed
50045,2025,2078,2024-05-15,3,346.67,Cancelled
50046,1565,2193,2024-03-05,3,87.16,Completed
50047,2155,2089,2023-12-24,4,1661.54,Shipped
50048,1049,2121,2024-04-30,5,2474.53,Completed
50049,2629,2059,2023-09-25,2,500.72,Cancelled
50050,3405,2142,2024-01-26,4,747.25,Completed
50051,2283,2049,2024-01-06,4,498.21,Pending
50052,3288,2008,2023-12-09,2,598.63,Completed
50053,2252,2189,2023-06-05,4,1639.76,Completed
50054,2392,2058,2024-01-01,4,1402.95,Pending
50055,3203,2077,2023-11-14,5,180.19,Completed
50056,1570,2040,2023-11-17,5,1620.87,Cancelled
50057,3490,2147,2023-12-18,4,487.99,Pending
50058,1261,2137,2023-12-15,2,501.04,Completed
50059,3333,2116,2024-04-23,3,207.87,Completed
50060,3265,2046,2023-06-17,5,1285.46,Completed
50061,1816,2018,2023-12-15,3,368.4,Completed
50062,3148,2018,2024-01-19,1,200.11,Completed
50063,1704,2084,2023-12-28,4,398.37,Completed
50064,1529,2138,2024-01-01,4,1511.97,Pending
50065,1846,2034,2023-09-14,3,690.89,Shipped
50066,2945,2041,2024-04-05,5,2355.49,Cancelled
50067,1832,2129,2024-05-16,4,623.34,Completed
50068,1585,2115,2023-07-03,4,1249.21,Completed
50069,3154,2085,2024-03-18,4,974.39,Cancelled
50070,1161,2189,2023-07-17,3,995.98,Pending
50071,2421,2180,2024-05-30,3,632.3,Completed
50072,2701,2064,2023-08-31,5,1866.45,Pending
50073,2576,2169,2023-09-02,5,351.89,Shipped
50074,1179,2062,2023-08-20,3,1332.64,Cancelled
50075,2196,2171,2023-07-05,2,913.3,Pending
50076,3265,2032,2023-12-06,1,383.81,Cancelled
50077,2336,2105,2024-01-17,2,290.13,Cancelled
50078,1183,2119,2023-06-14,1,328.46,Shipped
50079,2892,2098,2023-11-23,4,1725.97,Pending
50080,1155,2003,2023-10-07,1,,Completed
50081,2340,2172,2024-01-24,4,976.58,Completed
50082,3247,2169,2023-10-03,4,366.49,Completed
50083,1661,2044,2023-06-10,5,363.72,Completed
50084,1509,2137,2023-12-18,2,123.71,Completed
50085,2120,2040,2024-01-12,3,328.56,Shipped
50086,1142,2173,2024-02-28,2,469.96,Completed
50087,3142,2165,2024-05-05,1,210.54,Completed
50088,2819,2014,2024-04-02,1,48.12,Pending
50089,1827,2064,2023-12-09,2,239.99,Completed
50090,2728,2008,2023-06-08,3,1244.25,Shipped
50091,1259,2057,2023-07-20,2,737.81,Completed
50092,2703,2132,2023-07-26,3,534.82,Shipped
50093,1777,2160,2023-09-15,5,1063.28,Pending
50094,1495,2060,2023-09-18,1,194.37,Completed
50095,1062,2103,2024-04-30,3,92.07,Completed
50096,2880,2057,2023-07-04,3,1001.17,Completed
50097,1180,2018,2023-09-20,4,672.92,Cancelled
50098,3047,2027,2024-05-30,5,2004.24,Cancelled
50099,1703,2065,2023-07-19,5,895.34,Shipped
50100,2592,2174,2024-05-21,2,365.44,Shipped
50101,2303,2171,2024-02-02,1,184.17,Cancelled
50102,3397,2115,2023-12-13,5,1646.41,Completed
50103,3063,2151,2024-05-26,1,135.49,Cancelled
50104,1509,2080,2023-09-30,4,1538.77,Cancelled
50105,1326,2016,2023-08-10,3,785.69,Completed
50106,1622,2097,2023-09-13,1,138.08,Shipped
50107,3450,2114,2023-11-16,2,314.22,Shipped
50108,1163,2134,2023-12-30,3,1144.54,Completed
50109,2357,2088,2023-10-03,2,562.35,Shipped
50110,2018,2176,2024-05-22,2,627.66,Pending
50111,3136,2083,2023-09-02,4,1296.59,Completed
50112,3014,2018,2023-09-07,1,326.32,Completed
50113,1837,2033,2023-07-17,2,613.0,Completed
50114,1968,2130,2023-07-11,4,1477.48,Completed
50115,1673,2185,2023-09-10,2,452.82,Cancelled
50116,2020,2078,2023-10-25,5,1189.64,Shipped
50117,1825,2070,2024-02-02,1,476.73,Completed
50118,2632,2097,2023-08-25,4,938.61,Cancelled
50119,3497,2189,2024-01-08,2,828.62,Pending
50120,1082,2196,2023-12-13,4,,Completed
50121,3438,2138,2023-08-18,5,1850.79,Completed
50122,2559,2119,2023-11-04,4,638.13,Cancelled
50123,3483,2124,2023-07-07,3,269.74,Pending
50124,1802,2040,2023-09-06,1,31.1,Cancelled
50125,2533,2126,2023-12-25,4,1886.54,Shipped
50126,2529,2099,2024-02-06,3,988.49,Cancelled
50127,1292,2105,2023-06-20,1,207.79,Cancelled
50128,1666,2050,2024-01-10,3,1174.06,Shipped
50129,2428,2131,2024-05-29,4,1306.46,Completed
50130,1237,2167,2023-12-15,4,1497.76,Completed
50131,2957,2009,2023-12-03,1,356.3,Shipped
50132,1606,2067,2024-04-05,4,1894.1,Completed
50133,2042,2064,2024-04-04,5,2385.47,Completed
50134,1051,2030,2023-07-18,4,855.57,Cancelled
50135,1330,2133,2023-09-05,4,415.06,Pending
50136,2036,2178,2023-11-02,5,2423.25,Shipped
50137,2568,2151,2023-11-05,4,1529.68,Shipped
50138,1365,2028,2024-04-21,5,1969.64,Completed
50139,1585,2069,2023-09-16,4,1428.12,Completed
50140,1690,2126,2023-06-01,1,58.17,Shipped
50141,2712,2135,2023-12-31,3,1119.59,Completed
50142,1723,2096,2023-09-04,2,238.12,Completed
50143,3059,2029,2024-01-17,5,2059.13,Completed
50144,1824,2016,2023-09-02,2,296.38,Pending
50145,2806,2161,2024-04-15,1,437.47,Completed
50146,1327,2076,2023-07-14,4,336.9,Completed
50147,2402,2008,2024-03-26,2,504.0,Shipped
50148,1413,2003,2023-07-02,3,1146.31,Completed
50149,3386,2011,2023-07-20,2,546.22,Completed
50150,2539,2155,2024-02-22,3,1403.28,Pending
50151,2381,2155,2024-01-06,3,603.37,Completed
50152,2292,2062,2023-12-02,4,819.03,Completed
50153,2459,2085,2023-07-22,1,242.04,Shipped
50154,2646,2186,2023-08-11,1,310.91,Cancelled
50155,2145,2180,2023-10-06,3,718.98,Shipped
